Date,Age,Tm,Opp,Result,Game Type,Seasontype,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
2015/11/7,30-185,LAC,HOU,L (-4),,regular,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2015/11/9,30-187,LAC,MEM,W (+2),,regular,1,32:40:00,4,10,0.4,1,4,0.25,5,6,0.833,1,3,4,4,1,0,4,5,14,7.6,9,0.554,0.45,3.9,10.5,7.3,26.6,1.6,0,24,23.9,96,101,-3
2015/11/11,30-189,LAC,DAL,L (-10),@,regular,1,34:33:00,2,11,0.182,1,3,0.333,6,7,0.857,0,1,1,11,0,0,2,2,11,8.9,-12,0.391,0.227,0,3.9,1.6,44.7,0,0,12.4,20.2,105,130,-4.7
2015/11/12,30-190,LAC,PHO,L (-14),@,regular,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2015/11/14,30-192,LAC,DET,W (+5),,regular,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2015/11/19,30-197,LAC,GSW,L (-7),,regular,1,31:30:00,13,22,0.591,5,9,0.556,4,4,1,0,4,4,8,3,0,3,2,35,30.8,-6,0.737,0.705,0,17.9,7.7,50.4,4.7,0,11.2,37.6,139,121,20.4
2015/11/20,30-198,LAC,POR,L (-11),@,regular,1,28:31:00,4,12,0.333,1,4,0.25,2,2,1,0,2,2,8,1,0,2,3,11,8.2,-18,0.427,0.375,0,6.9,3.5,43.1,1.8,0,13.4,23.6,96,111,-1
2015/11/22,30-200,LAC,TOR,L (-11),,regular,1,33:23:00,5,13,0.385,1,4,0.25,2,2,1,2,3,5,11,2,0,3,5,13,12.9,-15,0.468,0.423,6.5,9.8,8.2,72.5,3.3,0,17.8,23.8,106,105,5.8
2015/11/24,30-202,LAC,DEN,W (+17),@,regular,1,28:07:00,6,11,0.545,0,0,,3,4,0.75,0,2,2,10,3,0,0,1,15,19.5,21,0.588,0.545,0,8.5,3.8,63.8,5.4,0,0,20.4,142,96,13.6
2015/11/25,30-203,LAC,UTA,L (-11),,regular,1,34:56:00,10,15,0.667,2,2,1,2,2,1,2,3,5,8,3,0,2,3,24,25.2,-6,0.756,0.733,7,11.8,9.3,45.3,4.6,0,11.2,24.2,148,111,17.7
2015/11/27,30-205,LAC,NOP,W (+21),,regular,1,28:36:00,5,11,0.455,1,4,0.25,6,7,0.857,0,5,5,8,2,0,0,1,17,19.6,26,0.604,0.5,0,14.2,8.5,42.5,3.3,0,0,21.6,137,87,11.6
2015/11/29,30-207,LAC,MIN,W (+8),,regular,1,31:33:00,7,12,0.583,0,1,0,6,6,1,0,2,2,9,0,0,4,2,20,16.5,7,0.683,0.583,0,7.8,3.9,48.3,0,0,21.5,27.7,123,110,2.3
2015/11/30,30-208,LAC,POR,W (+15),,regular,1,24:05:00,3,11,0.273,0,1,0,4,4,1,2,1,3,6,2,0,4,1,10,7,13,0.392,0.273,6.8,4,5.5,44.3,4,0,23.9,27.9,83,87,-0.6
2015/12/2,30-210,LAC,IND,L (-12),,regular,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
2015/12/5,30-213,LAC,ORL,W (+2),,regular,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
2015/12/7,30-215,LAC,MIN,W (+4),@,regular,1,31:38:00,5,14,0.357,1,2,0.5,3,3,1,0,1,1,5,4,0,5,4,14,7.4,7,0.457,0.393,0,3.7,1.7,24.9,6,0,24.6,26.6,82,102,-3.5
2015/12/9,30-217,LAC,MIL,W (+14),@,regular,1,37:48:00,7,13,0.538,2,4,0.5,2,2,1,0,3,3,18,0,0,2,4,18,21.6,25,0.648,0.615,0,8.3,4.2,78.5,0,0,12.6,18.2,148,104,8
2015/12/10,30-218,LAC,CHI,L (-3),@,regular,1,30:49:00,5,16,0.313,2,4,0.5,0,0,,0,0,0,5,1,0,4,3,12,2.1,8,0.375,0.375,0,0,0,35.1,1.8,0,20,29.3,70,100,-6.2
2015/12/12,30-220,LAC,BRK,W (+5),@,regular,1,31:15:00,6,15,0.4,0,4,0,3,3,1,0,2,2,14,3,0,3,2,15,16.5,1,0.46,0.4,0,6.8,3.6,63.7,4.8,0,15.5,28,106,102,5.3
2015/12/14,30-222,LAC,DET,W (+2),@,regular,1,37:58:00,6,16,0.375,0,2,0,1,1,1,1,4,5,12,2,0,3,5,13,11.5,12,0.395,0.375,2.8,12.7,7.5,47,2.8,0,15.4,23.9,93,101,-1.2
2015/12/16,30-224,LAC,MIL,W (+13),,regular,1,33:12:00,7,12,0.583,3,4,0.75,4,4,1,0,6,6,8,2,0,4,1,21,20.4,14,0.763,0.708,0,19.3,10.7,44.7,3.4,0,22.5,25.8,129,99,10.3
2015/12/18,30-226,LAC,SAS,L (-8),@,regular,1,34:22:00,8,14,0.571,2,5,0.4,9,10,0.9,1,1,2,10,3,0,2,5,27,27,6,0.734,0.643,3.5,3.4,3.4,56.3,4.5,0,9.8,28.6,148,122,15.1
2015/12/19,30-227,LAC,HOU,L (-10),@,regular,1,31:22:00,3,13,0.231,2,7,0.286,4,5,0.8,0,1,1,10,7,0,2,2,12,15.2,-1,0.395,0.308,0,3.5,1.6,52,10.8,0,11.6,23.8,94,94,12.7
2015/12/21,30-229,LAC,OKC,L (-1),,regular,1,35:58:00,11,19,0.579,4,6,0.667,6,6,1,1,4,5,10,2,0,2,3,32,30.8,-4,0.739,0.684,3,11.9,7.5,50.7,2.8,0,8.5,29.7,148,105,21.9
2015/12/25,30-233,LAC,LAL,W (+10),@,regular,1,34:55:00,11,19,0.579,0,3,0,1,1,1,0,5,5,6,3,0,1,2,23,21,17,0.592,0.579,0,16,8.1,36.1,4.3,0,4.9,26.5,122,85,10.6
2015/12/26,30-234,LAC,UTA,W (+5),@,regular,1,35:33:00,7,14,0.5,1,1,1,4,4,1,1,1,2,11,2,0,1,4,19,20.1,7,0.603,0.536,3.9,3.9,3.9,52,2.9,0,6,22.3,141,116,6.8
2015/12/28,30-236,LAC,WAS,W (+17),@,regular,1,27:27:00,9,20,0.45,1,5,0.2,4,4,1,1,4,5,7,0,0,2,1,23,17,10,0.528,0.475,5,14.9,10.7,48.5,0,0,8.4,39.6,108,99,2.8
2015/12/30,30-238,LAC,CHO,W (+5),@,regular,1,30:16:00,4,13,0.308,0,3,0,11,12,0.917,3,2,5,11,1,1,5,2,19,17.4,-4,0.52,0.308,14.4,6.6,9.8,56.9,1.7,2.7,21.5,36.5,118,128,-2
2015/12/31,30-239,LAC,NOP,W (+6),@,regular,1,32:36:00,3,18,0.167,0,4,0,3,4,0.75,1,4,5,12,2,0,3,0,9,6.5,13,0.228,0.167,2.9,15.1,8.3,57.8,3.1,0,13.2,30.4,73,93,-4.4
2016/1/2,30-241,LAC,PHI,W (+31),,regular,1,26:02:00,4,12,0.333,1,4,0.25,6,6,1,0,5,5,14,1,0,2,2,15,17.7,22,0.512,0.375,0,18.4,11.5,62,1.9,0,12,28.9,130,101,4
2016/1/6,30-245,LAC,POR,W (+11),@,regular,1,35:35:00,9,19,0.474,0,3,0,3,4,0.75,1,3,4,19,1,0,3,4,21,22.2,16,0.506,0.474,3.2,8.3,5.9,85.8,1.5,0,12.6,31.9,125,112,7
2016/1/9,30-248,LAC,CHO,W (+14),,regular,1,31:13:00,11,19,0.579,3,5,0.6,0,0,,1,6,7,7,2,1,5,4,25,19.6,21,0.658,0.658,3.1,20.5,11.5,46.6,3.4,2.5,20.8,35.3,112,85,14.4
2016/1/10,30-249,LAC,NOP,W (+3),,regular,1,40:00:00,10,18,0.556,3,4,0.75,2,4,0.5,1,4,5,11,3,1,2,5,25,24.9,9,0.633,0.639,2.7,9.8,6.4,50.7,3.7,1.9,9.2,24.4,129,100,12.7
2016/1/13,30-252,LAC,MIA,W (+14),,regular,1,30:28:00,6,17,0.353,2,3,0.667,1,2,0.5,2,4,6,12,4,1,1,1,15,19.4,14,0.419,0.412,5.8,16.6,10.3,61.9,6.4,3.4,5.3,27.5,108,85,13.5
2016/1/16,30-255,LAC,SAC,L (-7),,regular,1,27:12:00,4,11,0.364,3,5,0.6,4,4,1,0,4,4,7,1,0,4,5,15,10,1,0.588,0.5,0,17.2,7.2,39.9,1.8,0,23.9,25.6,104,111,0
2016/1/18,30-257,LAC,HOU,W (+8),,regular,1,42:31:00,8,15,0.533,5,7,0.714,7,9,0.778,0,6,6,12,6,1,5,4,28,30.2,14,0.738,0.7,0,15.6,8,40.4,7,2.2,20.9,25.4,135,111,12.8
2016/1/21,30-260,LAC,CLE,L (-13),@,regular,1,33:31:00,11,19,0.579,1,3,0.333,7,7,1,1,2,3,9,3,1,4,4,30,26.8,-4,0.679,0.605,3.5,7,5.2,63.7,4.6,2.6,15.3,35.6,126,120,16.5
2016/1/22,30-261,LAC,NYK,W (+28),@,regular,1,27:40:00,6,15,0.4,2,4,0.5,2,2,1,0,6,6,13,1,0,2,3,16,16.6,19,0.504,0.467,0,23.1,13.3,69.2,1.9,0,11.2,32.5,119,93,4.1
2016/1/24,30-263,LAC,TOR,L (-18),@,regular,1,31:05:00,9,17,0.529,3,7,0.429,2,3,0.667,1,3,4,11,2,1,4,4,23,20.7,10,0.628,0.618,3.6,13.2,7.9,84.5,3.2,2.5,17.9,33.7,117,112,14.6
2016/1/26,30-265,LAC,IND,W (+2),@,regular,1,36:06:00,11,21,0.524,4,8,0.5,0,0,,1,5,6,7,1,0,4,3,26,18.6,-9,0.619,0.619,3,14.1,8.7,53.6,1.4,0,16,32.1,115,96,8.2
2016/1/27,30-266,LAC,ATL,W (+2),@,regular,1,32:49:00,5,15,0.333,0,4,0,1,1,1,0,4,4,10,3,0,2,1,11,11.3,-7,0.356,0.333,0,13,6.2,56.9,4.6,0,11.5,24.2,85,86,3.3
2016/1/29,30-268,LAC,LAL,W (+12),,regular,1,31:03:00,11,18,0.611,3,6,0.5,2,2,1,0,1,1,7,2,0,2,1,27,23.6,8,0.715,0.694,0,3.5,1.8,47.1,3.3,0,9.6,32.4,134,103,13.7
2016/1/31,30-270,LAC,CHI,W (+27),,regular,1,32:33:00,8,16,0.5,1,4,0.25,2,2,1,0,1,1,7,2,0,1,0,19,17.2,16,0.563,0.531,0,2.9,1.7,31.1,3.1,0,5.6,25.5,125,101,2.8
2016/2/3,30-273,LAC,MIN,L (-6),,regular,1,35:44:00,6,14,0.429,4,9,0.444,6,6,1,2,2,4,8,2,0,2,2,22,21.4,-9,0.661,0.571,6.2,7.9,7,43.1,3,0,10.7,24.3,139,121,10.2
2016/2/5,30-275,LAC,ORL,W (+14),@,regular,1,35:38:00,8,15,0.533,1,4,0.25,4,5,0.8,0,4,4,6,4,0,6,3,21,15.5,25,0.61,0.567,0,11,6.5,27.7,5.5,0,25.9,29.4,101,91,2.1
2016/2/7,30-277,LAC,MIA,W (+7),@,regular,1,34:00:00,8,23,0.348,2,6,0.333,4,4,1,0,2,2,7,1,0,1,2,22,13.8,7,0.444,0.391,0,5.9,3,38.4,1.5,0,3.9,35.8,99,105,2.4
2016/2/8,30-278,LAC,PHI,W (+6),@,regular,1,39:39:00,5,18,0.278,0,3,0,9,10,0.9,1,5,6,7,4,0,3,3,19,14.9,10,0.424,0.278,2.3,13.6,7.6,33,5.1,0,11.8,28.1,92,84,4
2016/2/10,30-280,LAC,BOS,L (-5),@,regular,1,47:38:00,13,21,0.619,3,8,0.375,6,9,0.667,0,5,5,13,3,1,2,5,35,34.6,1,0.701,0.69,0,12.9,6.4,49,3,1.8,7.4,24.8,145,124,10.9
2016/2/18,30-288,LAC,SAS,W (+19),,regular,1,36:57:00,9,18,0.5,3,7,0.429,7,7,1,0,5,5,12,1,1,2,2,28,27.8,25,0.664,0.583,0,15.5,8.3,57.1,1.3,2,8.7,28.6,143,90,15.8
2016/2/20,30-290,LAC,GSW,L (-3),,regular,1,34:54:00,10,19,0.526,3,7,0.429,1,1,1,0,7,7,6,1,0,1,2,24,20.2,-14,0.617,0.605,0,24.1,10.9,29.2,1.4,0,4.9,24.3,133,117,7.6
2016/2/22,30-292,LAC,PHO,W (+40),,regular,1,26:49:00,6,11,0.545,1,2,0.5,3,3,1,0,2,2,14,2,0,1,3,16,20.9,37,0.649,0.591,0,6.8,3.8,75.3,3.6,0,7.5,21.4,156,86,13.7
2016/2/24,30-294,LAC,DEN,L (-6),,regular,1,35:13:00,6,14,0.429,3,8,0.375,2,2,1,1,5,6,10,4,0,2,3,17,19.6,-4,0.571,0.536,2.6,13.1,7.9,62.5,5.6,0,11.8,21.3,120,86,13.1
2016/2/26,30-296,LAC,SAC,W (+10),@,regular,1,36:20:00,13,20,0.65,4,9,0.444,10,10,1,1,7,8,13,2,0,2,1,40,42.7,14,0.82,0.75,3.1,21.5,12.4,66.5,2.8,0,7.6,32.2,168,108,29.9
2016/2/29,30-299,LAC,BRK,W (+10),,regular,1,36:08:00,8,15,0.533,1,5,0.2,6,6,1,1,5,6,12,2,0,3,3,23,24.1,5,0.652,0.567,3.2,13.3,8.8,52.5,2.9,0,14.5,27.1,133,102,10
2016/3/2,30-301,LAC,OKC,W (+5),,regular,1,39:49:00,8,17,0.471,1,4,0.25,4,4,1,1,3,4,13,1,1,2,4,21,21.1,8,0.56,0.5,2.1,7.1,4.5,51.6,1.2,1.9,9.6,22.1,122,106,7.6
2016/3/5,30-304,LAC,ATL,L (-10),,regular,1,37:01:00,6,16,0.375,2,5,0.4,3,3,1,0,6,6,11,1,0,4,2,17,13.9,-12,0.491,0.438,0,17.3,8.3,54.4,1.3,0,18.8,25.3,99,108,0
2016/3/7,30-306,LAC,DAL,W (+19),@,regular,1,27:49:00,12,18,0.667,2,6,0.333,1,1,1,0,4,4,7,3,0,1,3,27,26.1,21,0.732,0.722,0,12.8,7,66,5.3,0,5.1,32,146,88,22.2
2016/3/9,30-308,LAC,OKC,L (-12),@,regular,1,37:26:00,5,15,0.333,1,6,0.167,1,1,1,0,3,3,16,5,1,3,3,12,17.1,-11,0.389,0.367,0,10.4,4.7,59.3,6.4,1.9,16.3,23.4,100,111,4.1
2016/3/11,30-310,LAC,NYK,W (+7),,regular,1,33:59:00,9,17,0.529,4,7,0.571,2,4,0.5,0,4,4,15,2,0,4,1,24,24.2,8,0.64,0.647,0,11.8,6.1,83.8,3.1,0,17.6,30.6,127,102,16.3
2016/3/13,30-312,LAC,CLE,L (-24),,regular,1,29:48:00,5,11,0.455,3,6,0.5,4,4,1,0,5,5,10,2,0,4,2,17,17,-8,0.666,0.591,0,21.2,9.7,67.3,3.6,0,23.9,27.7,114,121,10
2016/3/15,30-314,LAC,SAS,L (-21),@,regular,1,33:15:00,9,16,0.563,1,3,0.333,3,3,1,0,4,4,8,3,0,3,1,22,20.8,2,0.635,0.594,0,17,8.4,60.8,5.1,0,14.8,32,121,119,13.5
2016/3/16,30-315,LAC,HOU,W (+16),@,regular,1,31:53:00,5,13,0.385,0,5,0,5,6,0.833,1,3,4,16,2,0,3,0,15,19.3,9,0.48,0.385,4.6,11.6,8.4,67.9,3.3,0,16.1,28,124,115,3.9
2016/3/19,30-318,LAC,MEM,L (-11),@,regular,1,31:53:00,7,14,0.5,3,5,0.6,8,9,0.889,0,3,3,6,1,0,3,2,25,19.9,-20,0.696,0.607,0,10.3,6.1,44.1,1.7,0,14.3,32.5,129,126,5.2
2016/3/20,30-319,LAC,NOP,L (-4),@,regular,1,35:31:00,5,14,0.357,3,7,0.429,11,13,0.846,0,6,6,13,4,0,1,5,24,27.3,0,0.609,0.464,0,21.3,9.1,66.9,5.3,0,4.8,24.9,136,100,15.8
2016/3/23,30-322,LAC,GSW,L (-16),@,regular,1,35:21:00,4,16,0.25,1,6,0.167,4,5,0.8,1,5,6,8,1,0,3,4,13,7.2,4,0.357,0.281,2.9,13.9,8.5,35.5,1.4,0,14.2,26.9,82,119,-6.9
2016/3/24,30-323,LAC,POR,W (+2),,regular,1,30:56:00,8,15,0.533,0,2,0,9,9,1,1,4,5,7,1,0,4,2,25,20.7,5,0.659,0.533,3.6,13.8,8.8,44.2,1.6,0,17.4,32.3,122,99,10.4
2016/3/27,30-326,LAC,DEN,W (+15),,regular,1,25:53:00,4,11,0.364,2,4,0.5,4,5,0.8,1,5,6,9,1,1,2,1,14,15.3,22,0.53,0.455,4.5,19.7,12.6,54.6,2.1,2.9,13.2,26.7,130,101,8.9
2016/3/28,30-327,LAC,BOS,W (+24),,regular,1,26:19:00,5,14,0.357,1,3,0.333,2,2,1,0,4,4,14,3,0,4,2,13,14.4,7,0.437,0.393,0,13.5,7.8,73.2,5.7,0,21.2,32.5,104,89,5.2
2016/3/30,30-329,LAC,MIN,W (+20),@,regular,1,30:31:00,6,16,0.375,1,4,0.25,7,7,1,2,6,8,16,1,0,2,1,20,24.2,33,0.524,0.406,6.8,19.7,13.4,91.3,1.7,0,9.5,33.5,125,87,15.3
2016/3/31,30-330,LAC,OKC,L (-2),@,regular,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not
2016/4/3,30-333,LAC,WAS,W (+5),,regular,1,32:41:00,10,19,0.526,1,3,0.333,6,7,0.857,0,3,3,12,1,0,2,2,27,24.8,6,0.611,0.553,0,8.6,4.6,62.2,1.5,0,8.3,32,131,114,10.1
2016/4/5,30-335,LAC,LAL,W (+22),,regular,1,23:05,10,14,0.714,2,4,0.5,3,3,1,0,4,4,8,2,1,0,1,25,28.3,30,0.816,0.786,0,15.4,9.3,86.6,4.5,3.3,0,31.1,171,81,33.8
2016/4/6,30-336,LAC,LAL,W (+10),@,regular,1,24:26:00,5,10,0.5,1,3,0.333,2,2,1,1,4,5,8,0,0,1,2,13,13.7,15,0.597,0.55,4.6,14.3,10,57.8,0,0,8.4,23.5,133,97,6.9
2016/4/8,30-338,LAC,UTA,W (+3),@,regular,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not
2016/4/10,30-340,LAC,DAL,W (+7),,regular,1,35:14:00,2,10,0.2,0,4,0,1,1,1,0,7,7,11,1,0,0,2,5,8.8,16,0.239,0.2,0,23.3,10.7,43.7,1.4,0,0,13.9,95,99,-3.6
2016/4/12,30-342,LAC,MEM,W (+26),,regular,1,26:31:00,4,9,0.444,2,3,0.667,2,2,1,1,1,2,13,2,0,5,1,12,14,19,0.607,0.556,5.5,3.9,4.6,69.7,4.1,0,33.6,28.9,117,97,5.5
2016/4/13,30-343,LAC,PHO,L (-9),@,regular,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not
2014/10/30,29-177,LAC,OKC,W (+3),,regular,1,37:36:00,9,18,0.5,1,3,0.333,3,7,0.429,2,2,4,7,3,1,0,3,22,20.8,0,0.522,0.528,4.8,9.5,6.4,39.7,4.2,2.9,0,24.7,123,97,14.1
2014/10/31,29-178,LAC,LAL,W (+7),@,regular,1,37:01:00,2,9,0.222,1,5,0.2,7,8,0.875,0,2,2,10,2,0,1,4,12,13.1,7,0.479,0.278,0,6.6,3.4,41.3,2.7,0,7.4,16.8,123,114,0.2
2014/11/2,29-180,LAC,SAC,L (-6),,regular,1,37:26:00,6,12,0.5,2,5,0.4,2,2,1,1,4,5,11,4,1,0,3,16,23.1,-13,0.621,0.583,2.7,15.5,7.9,55.7,5.7,2.2,0,15.7,148,101,15.9
2014/11/3,29-181,LAC,UTA,W (+6),,regular,1,35:58:00,5,12,0.417,1,2,0.5,2,2,1,0,10,10,12,2,1,2,2,13,17.9,9,0.505,0.458,0,34.2,17.1,46.7,2.9,2.7,13.4,20.2,115,101,5.4
2014/11/5,29-183,LAC,GSW,L (-17),@,regular,1,31:04:00,6,15,0.4,1,3,0.333,2,2,1,0,2,2,12,4,0,2,2,15,17.1,-25,0.472,0.433,0,10.7,4.5,64.5,6.1,0,11.2,25.6,106,113,7.9
2014/11/8,29-186,LAC,POR,W (+4),,regular,1,36:27:00,9,18,0.5,0,3,0,4,4,1,0,4,4,11,1,1,0,2,22,22.8,-3,0.557,0.5,0,13.9,6.6,51.5,1.4,2.4,0,25.7,133,110,11
2014/11/10,29-188,LAC,SAS,L (-4),,regular,1,38:34:00,6,13,0.462,0,3,0,0,0,,0,10,10,9,1,0,4,4,12,10,2,0.462,0.462,0,27.1,15,43.9,1.4,0,23.5,21.9,87,99,-2.8
2014/11/15,29-193,LAC,PHO,W (+13),,regular,1,35:54:00,10,13,0.769,5,6,0.833,7,8,0.875,0,5,5,9,2,0,3,3,32,32.1,16,0.969,0.962,0,11.3,7.4,53.2,2.7,0,15.4,24.4,167,107,18
2014/11/17,29-195,LAC,CHI,L (-16),,regular,1,37:05:00,5,11,0.455,1,1,1,1,2,0.5,0,1,1,7,1,1,1,2,12,11,-20,0.505,0.5,0,3.2,1.5,30.7,1.4,2.4,7.8,16.2,111,117,2.6
2014/11/19,29-197,LAC,ORL,W (+24),@,regular,1,30:12:00,8,13,0.615,0,2,0,0,0,,1,3,4,9,2,0,2,1,16,17.6,12,0.615,0.615,4.1,9.9,7.3,44.3,3.4,0,13.3,24.3,126,96,5.9
2014/11/20,29-198,LAC,MIA,W (+17),@,regular,1,32:57:00,8,13,0.615,3,5,0.6,7,8,0.875,0,2,2,12,1,0,1,0,26,28.7,29,0.787,0.731,0,7.9,4.5,55.8,1.6,0,5.7,26.2,165,107,19.2
2014/11/23,29-201,LAC,MEM,L (-16),@,regular,1,34:23:00,7,13,0.538,1,2,0.5,7,7,1,0,5,5,5,4,0,2,3,22,21.5,-12,0.684,0.577,0,17.9,8.3,31.4,5.9,0,11.1,25.4,129,104,12.8
2014/11/24,29-202,LAC,CHO,W (+21),@,regular,1,38:28:00,10,16,0.625,2,5,0.4,0,0,,0,5,5,15,0,1,1,3,22,25.3,33,0.688,0.688,0,15.6,8.2,57.6,0,2.3,5.9,21.1,156,104,13.9
2014/11/26,29-204,LAC,DET,W (+6),@,regular,1,36:20:00,9,12,0.75,3,4,0.75,2,2,1,1,1,2,7,1,0,3,3,23,20.9,9,0.893,0.875,3.8,3.1,3.4,36.8,1.5,0,18.9,20.7,152,115,9.6
2014/11/28,29-206,LAC,HOU,W (+17),@,regular,1,32:41:00,3,7,0.429,1,2,0.5,3,3,1,0,1,1,7,5,0,0,2,10,15.7,15,0.601,0.5,0,3.3,1.7,30.6,8,0,0,12.1,147,84,11.8
2014/11/29,29-207,LAC,UTA,W (+16),@,regular,1,33:52:00,7,13,0.538,1,3,0.333,2,2,1,1,2,3,10,2,0,2,0,17,19,33,0.612,0.577,4.2,7.1,5.7,40.4,3.2,0,12.6,23.1,136,110,9.5
2014/12/1,29-209,LAC,MIN,W (+26),,regular,1,24:35:00,3,7,0.429,0,2,0,6,6,1,1,2,3,8,1,0,2,2,12,13.4,22,0.622,0.429,5.6,8.3,7.1,44.4,2,0,17.2,20.7,138,103,1.9
2014/12/3,29-211,LAC,ORL,W (+28),,regular,1,28:54:00,7,10,0.7,3,5,0.6,2,2,1,0,5,5,10,1,0,1,0,19,23.3,27,0.873,0.85,0,18.9,10.6,54.7,1.7,0,8.4,18.6,170,91,16
2014/12/6,29-214,LAC,NOP,W (+20),,regular,1,29:54:00,7,13,0.538,4,6,0.667,0,0,,0,6,6,16,0,0,2,2,18,21.9,22,0.692,0.692,0,21.9,11.6,80.9,0,0,13.3,25.2,149,115,11.4
2014/12/8,29-216,LAC,PHO,W (+1),,regular,1,43:22:00,8,23,0.348,1,9,0.111,3,4,0.75,1,6,7,10,1,0,3,4,20,12.6,10,0.404,0.37,2.7,17.5,9.7,35.7,1.1,0,10.8,28.2,93,114,-4.8
2014/12/10,29-218,LAC,IND,W (+7),@,regular,1,37:09:00,7,16,0.438,0,2,0,3,3,1,1,7,8,15,3,0,4,4,17,19.3,22,0.491,0.438,3.2,17.4,11.1,58.8,4.1,0,18.8,25.9,109,97,6.2
2014/12/12,29-220,LAC,WAS,L (-8),@,regular,1,35:04:00,7,14,0.5,1,4,0.25,4,4,1,2,5,7,6,0,0,6,1,19,12.7,-10,0.603,0.536,6.8,20.1,12.9,36.6,0,0,27.6,27.9,102,118,0.6
2014/12/13,29-221,LAC,MIL,L (-5),@,regular,1,35:34:00,5,15,0.333,0,4,0,0,0,,2,3,5,7,1,0,6,6,10,1.3,7,0.333,0.333,6.3,13.1,9.1,29.3,1.4,0,28.6,25.5,70,118,-13.8
2014/12/15,29-223,LAC,DET,W (+22),,regular,1,24:04:00,4,7,0.571,2,3,0.667,1,1,1,0,2,2,8,0,0,1,0,11,12.9,17,0.739,0.714,0,8.7,4.9,45.6,0,0,11.8,16.4,156,109,7.5
2014/12/17,29-225,LAC,IND,W (+2),,regular,1,37:47:00,7,14,0.5,1,3,0.333,5,6,0.833,0,6,6,9,5,0,1,2,20,23.9,13,0.601,0.536,0,14.9,8.1,45.5,6.7,0,5.7,20.4,137,95,14.2
2014/12/19,29-227,LAC,DEN,L (-3),@,regular,1,38:50:00,8,17,0.471,1,4,0.25,0,0,,3,2,5,15,3,0,4,2,17,19.7,15,0.5,0.5,8.4,7.1,7.8,63.7,3.8,0,19,23.5,111,112,6.5
2014/12/20,29-228,LAC,MIL,W (+4),,regular,1,36:26:00,6,16,0.375,4,6,0.667,11,12,0.917,1,2,3,9,2,1,2,3,27,24.9,5,0.634,0.5,2.8,6.6,4.5,40.8,2.8,2.3,8.6,29.2,134,108,11.4
